LineId,Time,Level,Content,EventId,EventTemplate
58,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
59,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
60,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
61,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
62,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
63,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
66,Thu Jun 09 19:23:32 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
67,Thu Jun 09 19:23:32 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
68,Thu Jun 09 19:23:32 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
69,Thu Jun 09 19:23:32 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
70,Thu Jun 09 19:23:32 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
71,Thu Jun 09 19:23:32 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
72,Thu Jun 09 19:23:32 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
85,Fri Jun 10 01:23:50 2005,error,[client 63.203.254.140] Invalid method in request get /scripts/.%252e/.%252e/winnt/system32/cmd.exe?/c+dir,E0,Unknown Event: <*>
86,Fri Jun 10 01:24:12 2005,error,[client 213.61.135.6] Invalid method in request get /scripts/.%252e/.%252e/winnt/system32/cmd.exe?/c+dir,E0,Unknown Event: <*>
87,Fri Jun 10 01:24:32 2005,error,[client 201.252.246.11] Invalid method in request get /scripts/.%252e/.%252e/winnt/system32/cmd.exe?/c+dir,E0,Unknown Event: <*>
91,Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
92,Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
93,Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
94,Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
95,Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
96,Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
97,Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
98,Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
99,Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
100,Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
101,Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
102,Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
103,Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
104,Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
105,Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
106,Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
107,Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
108,Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
109,Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
110,Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
111,Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
112,Fri Jun 10 03:37:42 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
113,Fri Jun 10 03:37:42 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
115,Fri Jun 10 04:15:02 2005,error,[client 62.221.237.83] Invalid method in request get /scripts/..%35c../winnt/system32/cmd.exe?/c+dir,E0,Unknown Event: <*>
118,Fri Jun 10 11:01:52 2005,error,[client 66.201.171.199] File does not exist: /var/www/html/scripts/..%5c%5c..,E0,Unknown Event: <*>
119,Fri Jun 10 11:32:25 2005,notice,LDAP: Built with OpenLDAP LDAP SDK,E0,Unknown Event: <*>
120,Fri Jun 10 11:32:26 2005,notice,LDAP: SSL support unavailable,E0,Unknown Event: <*>
121,Fri Jun 10 11:32:26 2005,notice,suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),E0,Unknown Event: <*>
122,Fri Jun 10 11:32:26 2005,notice,Digest: generating secret for digest authentication ...,E0,Unknown Event: <*>
123,Fri Jun 10 11:32:26 2005,notice,Digest: done,E0,Unknown Event: <*>
124,Fri Jun 10 11:32:26 2005,notice,LDAP: Built with OpenLDAP LDAP SDK,E0,Unknown Event: <*>
125,Fri Jun 10 11:32:26 2005,notice,LDAP: SSL support unavailable,E0,Unknown Event: <*>
127,Fri Jun 10 11:32:27 2005,error,config.update(): Can't create channel.jni:jni,E0,Unknown Event: <*>
129,Fri Jun 10 11:32:27 2005,error,config.update(): Can't create vm:,E0,Unknown Event: <*>
131,Fri Jun 10 11:32:27 2005,error,config.update(): Can't create worker.jni:onStartup,E0,Unknown Event: <*>
133,Fri Jun 10 11:32:27 2005,error,config.update(): Can't create worker.jni:onShutdown,E0,Unknown Event: <*>
134,Fri Jun 10 11:32:35 2005,notice,mod_python: Creating 32 session mutexes based on 150 max processes and 0 max threads.,E0,Unknown Event: <*>
135,Fri Jun 10 11:32:39 2005,notice,mod_security/1.9dev2 configured,E0,Unknown Event: <*>
136,Fri Jun 10 11:32:39 2005,notice,Apache/2.0.49 (Fedora) configured -- resuming normal operations,E0,Unknown Event: <*>
146,Fri Jun 10 11:32:39 2005,error,mod_jk child init 1 0,E0,Unknown Event: <*>
154,Fri Jun 10 11:40:14 2005,error,[client 213.205.73.192] Invalid method in request get /scripts/..%e0%80%af../..%e0%80%af../..%e0%80%af../winnt/system32/cmd.exe?/c+dir,E0,Unknown Event: <*>
159,Fri Jun 10 20:23:18 2005,error,[client 210.22.201.118] File does not exist: /var/www/html/scripts/root.exe,E0,Unknown Event: <*>
160,Fri Jun 10 20:23:18 2005,error,[client 210.22.201.119] File does not exist: /var/www/html/MSADC,E0,Unknown Event: <*>
161,Fri Jun 10 20:23:19 2005,error,[client 210.22.201.120] File does not exist: /var/www/html/c,E0,Unknown Event: <*>
162,Fri Jun 10 20:23:19 2005,error,[client 210.22.201.117] File does not exist: /var/www/html/d,E0,Unknown Event: <*>
163,Fri Jun 10 20:23:20 2005,error,[client 210.22.201.124] File does not exist: /var/www/html/scripts/..%5c..,E0,Unknown Event: <*>
164,Fri Jun 10 20:23:20 2005,error,[client 210.22.201.118] File does not exist: /var/www/html/_vti_bin,E0,Unknown Event: <*>
165,Fri Jun 10 20:23:21 2005,error,[client 210.22.201.121] File does not exist: /var/www/html/_mem_bin,E0,Unknown Event: <*>
166,Fri Jun 10 20:23:21 2005,error,[client 210.22.201.125] File does not exist: /var/www/html/msadc,E0,Unknown Event: <*>
167,Fri Jun 10 20:23:22 2005,error,[client 210.22.201.120] File does not exist: /var/www/html/scripts/..\xc1\x1c..,E0,Unknown Event: <*>
168,Fri Jun 10 20:23:22 2005,error,[client 210.22.201.122] File does not exist: /var/www/html/scripts/..\xc0\xaf..,E0,Unknown Event: <*>
169,Fri Jun 10 20:23:23 2005,error,[client 210.22.201.117] File does not exist: /var/www/html/scripts/..\xc1\x9c..,E0,Unknown Event: <*>
170,Fri Jun 10 20:23:24 2005,error,[client 210.22.201.121] File does not exist: /var/www/html/scripts/..%5c..,E0,Unknown Event: <*>
171,Fri Jun 10 20:23:25 2005,error,[client 210.22.201.119] File does not exist: /var/www/html/scripts/..%2f..,E0,Unknown Event: <*>
172,Fri Jun 10 21:02:54 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/scripts/root.exe,E0,Unknown Event: <*>
173,Fri Jun 10 21:02:56 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/MSADC,E0,Unknown Event: <*>
174,Fri Jun 10 21:02:59 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/c,E0,Unknown Event: <*>
175,Fri Jun 10 21:03:01 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/d,E0,Unknown Event: <*>
176,Fri Jun 10 21:03:04 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/scripts/..%5c..,E0,Unknown Event: <*>
177,Fri Jun 10 21:03:06 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/_vti_bin,E0,Unknown Event: <*>
178,Fri Jun 10 21:03:12 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/_mem_bin,E0,Unknown Event: <*>
179,Fri Jun 10 21:03:14 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/msadc,E0,Unknown Event: <*>
180,Fri Jun 10 21:03:17 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/scripts/..\xc1\x1c..,E0,Unknown Event: <*>
181,Fri Jun 10 21:03:22 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/scripts/..\xc0\xaf..,E0,Unknown Event: <*>
182,Fri Jun 10 21:03:24 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/scripts/..\xc1\x9c..,E0,Unknown Event: <*>
183,Fri Jun 10 21:03:38 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/scripts/..%5c..,E0,Unknown Event: <*>
184,Fri Jun 10 21:03:44 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/scripts/..%2f..,E0,Unknown Event: <*>
192,Sat Jun 11 03:03:03 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E0,Unknown Event: <*>
193,Sat Jun 11 03:03:03 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E0,Unknown Event: <*>
194,Sat Jun 11 03:03:03 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E0,Unknown Event: <*>
195,Sat Jun 11 03:03:04 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E0,Unknown Event: <*>
196,Sat Jun 11 03:03:04 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E0,Unknown Event: <*>
197,Sat Jun 11 03:03:04 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E0,Unknown Event: <*>
201,Sat Jun 11 03:03:04 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E0,Unknown Event: <*>
202,Sat Jun 11 03:03:04 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E0,Unknown Event: <*>
203,Sat Jun 11 03:03:04 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E0,Unknown Event: <*>
207,Sat Jun 11 03:03:05 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E0,Unknown Event: <*>
211,Sat Jun 11 03:03:05 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E0,Unknown Event: <*>
212,Sat Jun 11 03:03:05 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E0,Unknown Event: <*>
213,Sat Jun 11 03:03:05 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,E0,Unknown Event: <*>
214,Sat Jun 11 03:03:05 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E0,Unknown Event: <*>
215,Sat Jun 11 03:03:06 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E0,Unknown Event: <*>
216,Sat Jun 11 03:03:06 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E0,Unknown Event: <*>
217,Sat Jun 11 03:03:06 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E0,Unknown Event: <*>
221,Sat Jun 11 03:03:06 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E0,Unknown Event: <*>
224,Sat Jun 11 03:03:06 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E0,Unknown Event: <*>
228,Sat Jun 11 03:03:06 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E0,Unknown Event: <*>
232,Sat Jun 11 03:03:06 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,E0,Unknown Event: <*>
233,Sat Jun 11 03:03:06 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/awstats/awstats.pl,E0,Unknown Event: <*>
234,Sat Jun 11 03:03:06 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E0,Unknown Event: <*>
235,Sat Jun 11 03:03:06 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,E0,Unknown Event: <*>
236,Sat Jun 11 03:03:07 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E0,Unknown Event: <*>
237,Sat Jun 11 03:03:07 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E0,Unknown Event: <*>
241,Sat Jun 11 03:03:07 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E0,Unknown Event: <*>
245,Sat Jun 11 03:03:07 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E0,Unknown Event: <*>
248,Sat Jun 11 03:03:07 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E0,Unknown Event: <*>
252,Sat Jun 11 03:03:07 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E0,Unknown Event: <*>
256,Sat Jun 11 03:03:07 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E0,Unknown Event: <*>
260,Sat Jun 11 03:03:07 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E0,Unknown Event: <*>
264,Sat Jun 11 03:03:07 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E0,Unknown Event: <*>
267,Sat Jun 11 03:03:07 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E0,Unknown Event: <*>
268,Sat Jun 11 03:03:07 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E0,Unknown Event: <*>
269,Sat Jun 11 03:03:07 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,E0,Unknown Event: <*>
270,Sat Jun 11 03:03:07 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,E0,Unknown Event: <*>
271,Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E0,Unknown Event: <*>
272,Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E0,Unknown Event: <*>
273,Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E0,Unknown Event: <*>
274,Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,E0,Unknown Event: <*>
275,Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E0,Unknown Event: <*>
276,Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/awstats/awstats.pl,E0,Unknown Event: <*>
277,Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E0,Unknown Event: <*>
278,Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/awstats/awstats.pl,E0,Unknown Event: <*>
279,Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E0,Unknown Event: <*>
280,Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/stats,E0,Unknown Event: <*>
284,Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E0,Unknown Event: <*>
288,Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E0,Unknown Event: <*>
292,Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E0,Unknown Event: <*>
296,Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,E0,Unknown Event: <*>
299,Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E0,Unknown Event: <*>
303,Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E0,Unknown Event: <*>
307,Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E0,Unknown Event: <*>
311,Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E0,Unknown Event: <*>
315,Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,E0,Unknown Event: <*>
318,Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,E0,Unknown Event: <*>
321,Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/awstats/awstats.pl,E0,Unknown Event: <*>
325,Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/awstats/awstats.pl,E0,Unknown Event: <*>
329,Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,E0,Unknown Event: <*>
337,Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,E0,Unknown Event: <*>
338,Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,E0,Unknown Event: <*>
339,Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,E0,Unknown Event: <*>
340,Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,E0,Unknown Event: <*>
341,Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/stats,E0,Unknown Event: <*>
342,Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,E0,Unknown Event: <*>
343,Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,E0,Unknown Event: <*>
344,Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,E0,Unknown Event: <*>
345,Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/awstats/awstats.pl,E0,Unknown Event: <*>
346,Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/awstats/awstats.pl,E0,Unknown Event: <*>
347,Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,E0,Unknown Event: <*>
348,Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,E0,Unknown Event: <*>
349,Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,E0,Unknown Event: <*>
353,Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/awstats/awstats.pl,E0,Unknown Event: <*>
357,Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/stats,E0,Unknown Event: <*>
362,Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,E0,Unknown Event: <*>
365,Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E0,Unknown Event: <*>
368,Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E0,Unknown Event: <*>
372,Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/awstats/awstats.pl,E0,Unknown Event: <*>
376,Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/awstats/awstats.pl,E0,Unknown Event: <*>
380,Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/awstats/awstats.pl,E0,Unknown Event: <*>
383,Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/awstats/awstats.pl,E0,Unknown Event: <*>
385,Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/stats,E0,Unknown Event: <*>
390,Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/stats,E0,Unknown Event: <*>
394,Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/awstats/awstats.pl,E0,Unknown Event: <*>
402,Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/stats/awstats.pl,E0,Unknown Event: <*>
409,Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/awstats/awstats.pl,E0,Unknown Event: <*>
410,Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/stats/awstats.pl,E0,Unknown Event: <*>
411,Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/awstats/awstats.pl,E0,Unknown Event: <*>
412,Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/stats,E0,Unknown Event: <*>
413,Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/awstats/awstats.pl,E0,Unknown Event: <*>
414,Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/awstats/awstats.pl,E0,Unknown Event: <*>
415,Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/stats,E0,Unknown Event: <*>
416,Sat Jun 11 03:03:10 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/awstats/awstats.pl,E0,Unknown Event: <*>
433,Sat Jun 11 03:03:10 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/stats,E0,Unknown Event: <*>
435,Sat Jun 11 03:03:10 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/awstats/awstats.pl,E0,Unknown Event: <*>
437,Sat Jun 11 03:03:10 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/awstats/awstats.pl,E0,Unknown Event: <*>
